Business Name,Category,City,Website,Phone,Address,Source
Enlighten MD,Med Spa / Laser / Injectables,Dallas,https://www.enlightenmd.com/,214-964-0860,"5232 Forest Lane, Suite 170, Dallas, TX 75244",enlightenmd.com/contact-us
Advanced Skin Fitness Medical Spa,Med Spa / Laser / CoolSculpting,Dallas,https://advancedskinfitness.com/,(214) 521-5277,"9201 N Central Expy, Ste 210, Dallas, TX 75231",advancedskinfitness.com (Contact)
North Dallas Dermatology Associates,Cosmetic Dermatology / Laser,Dallas,https://northdallasderm.com/,(214) 420-7070,"8144 Walnut Hill Ln, Suite 1300, Dallas, TX 75231",northdallasderm.com/contact-us
SkinSpirit – West Village (Uptown),Med Spa / Injectables / Skin,Dallas,https://www.skinspirit.com/locations/west-village,(469) 259-2800,"West Village, Dallas, TX (see website)",skinspirit.com/locations/west-village
Lemmon Avenue Plastic Surgery & Laser Center,Medical Aesthetics / Plastic Surgery / Laser,Dallas,https://www.lemmonavenueplasticsurgery.com/,214-702-0707,"2801 Lemmon Avenue W, Suite 300, Dallas, TX 75204",lemmonavenueplasticsurgery.com/contact-lemmon-avenue/
Amazing Lash Studio – West Village,Lashes / Beauty,Dallas,https://www.amazinglashstudio.com/find-a-studio?searchVal=Dallas%2CTX,(469) 904-6290,"3699 McKinney Ave, Suite 502, Dallas, TX 75204",amazinglashstudio.com (Find a Studio)
The Lash Lounge – Lakewood,Lashes / Beauty,Dallas,https://www.thelashlounge.com/tx-dallas-lakewood/,214-239-0331,"6465 E Mockingbird Ln, #372, Dallas, TX 75214",thelashlounge.com/tx-dallas-lakewood/
The Lash Lounge – Park Cities,Lashes / Beauty,Dallas,https://www.thelashlounge.com/tx-dallas-park-cities/,214-432-1142,"5560 W Lovers Ln, Ste 255, Dallas, TX 75209",thelashlounge.com/tx-dallas-park-cities/
Verbena Parlor + Social House,Nail Salon,Dallas,https://www.verbenaparlor.com/,214-433-7359,"2626 Howell St, #166, Dallas, TX 75204",verbenaparlor.com
Ideal Image – West Village,Med Spa / Laser / Injectables,Dallas,https://www.idealimage.com/locations/texas/dallas-west-village,469-784-9932,"3839 McKinney Ave, Suite 110, Dallas, TX 75204",idealimage.com/locations/texas/dallas-west-village
Milan Laser Hair Removal – Addison,Laser Hair Removal,Dallas (Addison),https://milanlaserdallas.com/locations/dallas/,469-312-2993,"5225 Belt Line Rd, Dallas, TX 75254",milanlaserdallas.com/locations/dallas/
Milan Laser Hair Removal – Northeast Dallas,Laser Hair Removal,Dallas,https://milanlaser.com/locations/tx/dallas/6464-e-nw-hwy,(469) 902-2916,"6464 E Northwest Hwy, Ste 345, Dallas, TX 75214",milanlaser.com/locations/tx/dallas/6464-e-nw-hwy
MINT dentistry – Uptown,Cosmetic Dentistry / Whitening,Dallas,https://mintdentistry.com/dentist/dfw/uptown,469-440-7149,"2520 Fairmount St, Suite 100, Dallas, TX 75201",mintdentistry.com/dentist/dfw/uptown
BLEU Dentistry (Whitening Services),Cosmetic Dentistry / Whitening,Dallas,https://www.bleudentist.com/services/enhanced-whitening/,(214) 699-4976,"Dallas, TX (see website)",bleudentist.com/services/enhanced-whitening/
We Whiten – Preston Center,Teeth Whitening Studio,Dallas,https://www.wewhiten.com/,(972) 649-0459,"7700 W Northwest Hwy, Dallas, TX 75225",MapQuest listing
Laced by Lonice Spa & Boutique,Aesthetics / Facials / Lashes / Whitening,Dallas,https://www.lacedbylonice.com/,,"2504 Kimsey Dr, Dallas, TX 75235",lacedbylonice.com
